N,calculated_pi,error,time
7360, 3.14212391304347571364,-0.00053125945368259764,9.7369e-05
7410, 3.14208690958165393070,-0.00049425599186081470,9.6173e-05
7460, 3.14213136729222730636,-0.00053871370243419037,9.3656e-05
7510, 3.14212996005326905546,-0.00053730646347593947,0.00010351
7560, 3.14210687830688195632,-0.00051422471708884032,9.9013e-05
7610, 3.14208304862024023763,-0.00049039503044712163,9.9901e-05
7660, 3.14204177545691853979,-0.00044912186712542379,9.956e-05
7710, 3.14203891050583949962,-0.00044625691604638362,0.000114008
7760, 3.14202113402062188641,-0.00042848043082877041,0.000103975
7810, 3.14199129321382386593,-0.00039863962403074993,0.000101254
7860, 3.14195012722645916625,-0.00035747363666605025,9.4509e-05
7910, 3.14193173198482478270,-0.00033907839503166670,0.00010409
7960, 3.14191557788944431096,-0.00032292429965119496,0.000102053
8010, 3.14190012484393799141,-0.00030747125414487542,0.000104967
8060, 3.14186997518610722224,-0.00027732159631410624,0.000107759
8110, 3.14188705302096282779,-0.00029439943116971179,0.000113481
8160, 3.14186764705884069571,-0.00027499346904757971,0.000107215
8210, 3.14190207064555426797,-0.00030941705576115197,0.000100225
8260, 3.14197481840193626468,-0.00038216481214314868,0.000108622
8310, 3.14197785800240492193,-0.00038520441261180594,0.000107897
8360, 3.14197799043061998248,-0.00038533684082686648,0.000106526
8410, 3.14197859690844172320,-0.00038594331864860720,0.000106871
8460, 3.14199479905437462079,-0.00040214546458150480,0.000110916
8510, 3.14195487661574279770,-0.00036222302594968170,0.000107148
8560, 3.14185467289719744244,-0.00026201930740432644,0.000111514
8610, 3.14185969802555131736,-0.00026704443575820136,0.000111039
8660, 3.14180831408775729230,-0.00021566049796417630,0.000113178
8710, 3.14183788748564785109,-0.00024523389585473510,0.000109856
8760, 3.14183926940639457470,-0.00024661581660145870,0.000112861
8810, 3.14188876276958284350,-0.00029610917978972751,0.000114347
8860, 3.14187765237020322218,-0.00028499878041010618,0.000109574
8910, 3.14187699214366089606,-0.00028433855386778006,0.000113972
8960, 3.14185312499999458424,-0.00026047141020146825,0.000164919
9010, 3.14174517203107406260,-0.00015251844128094660,0.000119036
9060, 3.14170286975717072409,-0.00011021616737760809,0.000113135
9110, 3.14173216245887543252,-0.00013950886908231652,0.000119048
9160, 3.14178689956334311617,-0.00019424597355000017,0.000117382
9210, 3.14173593919653004747,-0.00014328560673693147,0.000117132
9260, 3.14180431965443140996,-0.00021166606463829396,0.000115991
9310, 3.14177959183673394250,-0.00018693824694082650,0.000131374
9360, 3.14181709401709108320,-0.00022444042729796720,0.000125982
9410, 3.14183506907545107012,-0.00024241548565795412,0.000143663
9460, 3.14185369978858330953,-0.00026104619879019353,0.00012963
9510, 3.14183890641430441093,-0.00024625282451129493,0.000125648
9560, 3.14184225941422434758,-0.00024960582443123158,0.00012819
9610, 3.14193007284079151020,-0.00033741925099839420,0.000120056
9660, 3.14189606625258965877,-0.00030341266279654278,0.000117583
9710, 3.14192420185375542729,-0.00033154826396231130,0.000120397
9760, 3.14195819672130838285,-0.00036554313151526685,0.000121449
9810, 3.14197798165137331949,-0.00038532806158020350,0.000126357
9860, 3.14202068965517389287,-0.00042803606538077688,0.000175421
9910, 3.14201130171543585590,-0.00041864812564273990,0.00012566
9960, 3.14200240963855659260,-0.00040975604876347660,0.000125761
