problem_size,size,init_time,step_time,dxdt_time,norm_time,total_time
18,1,0.223532,2943.535041,8983.966306,48.885148,11976.653301
26,1,0.316608,4569.097647,13990.076549,79.852345,18639.398936
14,1,0.182425,2251.102550,6904.202854,35.509893,9191.041627
20,1,0.240798,3286.155444,10138.859326,50.784754,13476.079303
28,1,0.338813,4931.448321,14956.963381,86.006390,19974.813980
12,1,0.165387,1924.426538,5936.893688,30.621932,7892.145545
30,1,0.362451,5269.116818,15997.682925,93.356480,21360.577335
16,1,0.234444,3030.399395,8451.379154,56.686756,11538.771866
32,1,0.370407,5575.395938,17071.594961,97.001966,22744.414612
64,1,0.644582,11553.081049,35133.382068,200.171168,46887.340533
22,1,0.270487,3829.945678,11713.196633,59.651352,15603.114558
14,1,0.182917,2231.808639,6853.599612,34.894419,9120.530567
18,1,0.240226,2929.525848,8888.041557,49.588067,11867.451027
24,1,0.306331,4208.683623,12885.824718,73.487806,17168.358483
20,1,0.249395,3119.558187,9608.854061,48.490726,12777.189364
16,1,0.193075,2440.381644,7537.224921,38.694503,10016.533643
26,1,0.317636,4564.774870,13922.681287,79.966791,18567.809643
18,1,0.211413,2812.241288,8608.071566,44.028995,11464.588678
28,1,0.340181,4929.779939,14971.223367,85.983682,19987.377293
22,1,0.272775,3828.951627,11728.830935,59.786667,15617.891296
30,1,0.350962,5270.014205,16034.143966,91.524744,21396.084363
20,1,0.222797,3208.321377,9812.200171,49.771987,13070.558744
32,1,0.378226,5578.917639,17062.855254,96.228725,22738.433752
24,1,0.297266,4199.430415,12854.968504,73.142440,17127.888720
26,1,0.318780,4567.207763,13875.374459,79.842733,18522.797766
22,1,0.271257,3819.780414,11704.955413,59.583376,15584.633494
28,1,0.339426,4912.632397,14953.302579,85.789073,19952.108941
30,1,0.355623,5237.945348,15981.029556,91.252109,21310.627316
24,1,0.307614,4184.579051,12822.813605,73.226041,17080.981851
128,1,1.508420,21509.478681,65215.168415,332.557276,87058.763928
